borrower,symbol,token_address,total_borrowed_amt
0x3328d6119501cb5db268befc394c6975a16444bc,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,92711594.22538452
0x517ce9b6d1fcffd29805c3e19b295247fcd94aef,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,79994605.6
0x1484485f1ba8ff4d88bb1a8e7f131dd6f1910edb,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,61721940.34959491
0xed0c6079229e2d407672a117c22b62064f4a4312,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,58200351.566759996
0xb8a451107a9f87fde481d4d686247d6e43ed715e,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,55059852.57668407
0xe5c248d8d3f3871bd0f68e9c4743459c43bb4e4c,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,35007429.45
0xc03d7825d2b3ec9d73d581802ab49301c4ebb4d5,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,33938418.07943655
0x3c1bf7d29100acf8fe8c48ac3ed144388ad470a9,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,27548528.8639157
0xa7c624014699a8b537cc4b326eb65f00852ee2a3,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,26056940.877706233
0x7ee29373f075ee1d83b1b93b4fe94ae242df5178,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,25005306.75
0x517ce9b6d1fcffd29805c3e19b295247fcd94aef,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,25005306.75
0x3328d6119501cb5db268befc394c6975a16444bc,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,22466355.2006748
0x85e05c10db73499fbdecab0dfbb794a446feeec8,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,20004245.4
0x4352cc849b33a936ad93bb109afdec1c89653b4f,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17163418.975123998
0xf6f4fe93716dbcad8da7d98a5f12d98988906029,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,16698873.919
0x6e9e81efcc4cbff68ed04c4a90aea33cb22c8c89,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,15003184.05
0xfaf1358fe6a9fa29a169dfc272b14e709f54840f,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,15003184.05
0x893aa69fbaa1ee81b536f0fbe3a3453e86290080,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,14675864.13385
0x1f2f10d1c40777ae1da742455c65828ff36df387,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,14307568.882169165
0x537c351c374b013f4db9bbe2b078803ecffc6d54,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,13393248.396928305
0xa7c624014699a8b537cc4b326eb65f00852ee2a3,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,11387569.501469968
0x1f2f10d1c40777ae1da742455c65828ff36df387,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,10732033.958110996
0x0ed0ea598e89765471e86a060bd91f4bb2dc1fb0,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,10271010.712433266
0x1484485f1ba8ff4d88bb1a8e7f131dd6f1910edb,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,9478716.86707987
0x6dc71298ce1b61ba4c83d5cdf4b3b1e9aa558a7f,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,9428376.534601392
0x0ed0ea598e89765471e86a060bd91f4bb2dc1fb0,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,9351836.943495499
0xa9f86d9eaf339305cd36e76bc0de7ac5b024f075,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,8972575.352134537
0xc30f6ee36a1746dd71c7e81529eeae7ce2f52252,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8730827.41768018
0x96f49d0e9724dfd8780fa667ac37a993f005cb94,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,8501804.295
0xa7c624014699a8b537cc4b326eb65f00852ee2a3,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,8056068.577308603
0x1f2cfaddcad3a4e398fac6df39b51c310dd1729a,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,8001698.16
0x81ebde24453b8e40454616579ea79c79a197699d,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,7949487.079506
0x6dc71298ce1b61ba4c83d5cdf4b3b1e9aa558a7f,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,7772431.910793494
0x1e2ac461edc05bdc7b471cf93aeceec91f32ed29,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6299575.191
0xa7c624014699a8b537cc4b326eb65f00852ee2a3,tBTC,0x18084fba666a33d37592fa2633fd49a74dd93a88,6199835.474076203
0xbf060fe5b35aefbb80041e313510294e501b5e38,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,5221248.020355329
0x26734414cd2df8f270b4364d57fc86bd97d3e75a,cbBTC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,5090077.659294
0xb17b3f999c9f6181cd2a573cdfdb119ee1158a6b,cbBTC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,4991343.160104
0x7576b7a1d278e3004dd37bbeb90e0b08ca70a1b9,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4337337.381845329
0x2f206d74d7cfcc6a9f556825034eb110a572ad62,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4169457.603032442
